n_objects,n_triangles,n_collisions,n_draw_calls,time_ns
1,12,0,1,335225
1,12,0,1,430683
1,12,0,1,523598
1,12,0,1,412649
1,12,0,1,359111
1,12,0,1,355232
1,12,0,1,310018
1,12,0,1,315708
1,12,0,1,374092
1,12,0,1,436739
1,12,0,1,463709
1,12,0,1,617895
1,12,0,1,466390
1,12,0,1,390906
1,12,0,1,483361
1,12,0,1,519438
1,12,0,1,603143
1,12,0,1,374389
1,12,0,1,284559
1,12,0,1,388394
1,12,0,1,518017
1,12,0,1,442026
1,12,0,1,436062
1,12,0,1,382004
1,12,0,1,383369
1,12,0,1,368147
1,12,0,1,444590
1,12,0,1,485766
1,12,0,1,604547
1,12,0,1,396689
1,12,0,1,505284
1,12,0,1,302655
1,12,0,1,323673
1,12,0,1,295733
1,12,0,1,346374
1,12,0,1,353063
1,12,0,1,396027
1,12,0,1,523720
1,12,0,1,406256
1,12,0,1,492980
1,12,0,1,473280
1,12,0,1,521335
1,12,0,1,324515
1,12,0,1,401347
1,12,0,1,310028
1,12,0,1,433461
1,12,0,1,365821
1,12,0,1,342077
1,12,0,1,396910
1,12,0,1,371842
1,12,0,1,449125
1,12,0,1,467208
1,12,0,1,483600
1,12,0,1,318362
1,12,0,1,576510
1,12,0,1,430903
1,12,0,1,518243
1,12,0,1,334692
1,12,0,1,383613
1,12,0,1,372794
1,12,0,1,366044
1,12,0,1,359135
1,12,0,1,407802
1,12,0,1,464997
1,12,0,1,396749
1,12,0,1,365000
1,12,0,1,441405
1,12,0,1,484327
1,12,0,1,497383
1,12,0,1,325137
1,12,0,1,343319
1,12,0,1,348459
1,12,0,1,437334
1,12,0,1,381571
1,12,0,1,356315
1,12,0,1,419200
1,12,0,1,429571
1,12,0,1,439472
1,12,0,1,445191
1,12,0,1,516860
1,12,0,1,501585
1,12,0,1,445346
1,12,0,1,493629
1,12,0,1,536592
1,12,0,1,498502
1,12,0,1,334334
1,12,0,1,368756
1,12,0,1,364028
1,12,0,1,456352
1,12,0,1,415961
1,12,0,1,640036
1,12,0,1,516906
1,12,0,1,378366
1,12,0,1,369140
1,12,0,1,353624
1,12,0,1,358748
1,12,0,1,415505
1,12,0,1,675986
1,12,0,1,743522
1,12,0,1,510981
1,12,0,1,573462
1,12,0,1,532231
1,12,0,1,526893
1,12,0,1,360130
1,12,0,1,314923
1,12,0,1,342629
1,12,0,1,557350
1,12,0,1,339735
1,12,0,1,355043
1,12,0,1,625905
1,12,0,1,351246
1,12,0,1,553925
1,12,0,1,501292
1,12,0,1,472009
1,12,0,1,339335
1,12,0,1,438637
1,12,0,1,299740
1,12,0,1,357124
1,12,0,1,326488
1,12,0,1,596330
1,12,0,1,349782
1,12,0,1,541812
1,12,0,1,625779
1,12,0,1,630299
1,12,0,1,349473
1,12,0,1,512435
1,12,0,1,552419
1,12,0,1,500243
1,12,0,1,406927
1,12,0,1,336697
1,12,0,1,341889
1,12,0,1,620891
1,12,0,1,423628
1,12,0,1,365348
1,12,0,1,364141
1,12,0,1,630486
1,12,0,1,327840
1,12,0,1,555034
1,12,0,1,475627
1,12,0,1,459947
1,12,0,1,440723
1,12,0,1,560464
1,12,0,1,496477
1,12,0,1,389160
1,12,0,1,377464
1,12,0,1,392469
1,12,0,1,357197
1,12,0,1,558328
1,12,0,1,633926
1,12,0,1,586457
1,12,0,1,353308
1,12,0,1,566856
1,12,0,1,602115
1,12,0,1,536031
1,12,0,1,438404
1,12,0,1,328055
1,12,0,1,380933
1,12,0,1,377108
1,12,0,1,340632
1,12,0,1,336893
1,12,0,1,360265
1,12,0,1,339610
1,12,0,1,592436
1,12,0,1,327660
1,12,0,1,885901
1,12,0,1,504568
1,12,0,1,444757
1,12,0,1,401842
1,12,0,1,389785
1,12,0,1,420656
1,12,0,1,748346
1,12,0,1,392230
1,12,0,1,476599
1,12,0,1,349191
1,12,0,1,314173
1,12,0,1,425984
1,12,0,1,333424
1,12,0,1,354896
1,12,0,1,350910
1,12,0,1,602632
1,12,0,1,571744
1,12,0,1,472451
1,12,0,1,329402
1,12,0,1,286954
1,12,0,1,364431
1,12,0,1,311249
1,12,0,1,337729
1,12,0,1,331698
1,12,0,1,579162
1,12,0,1,339504
1,12,0,1,579703
1,12,0,1,552460
1,12,0,1,659460
1,12,0,1,359240
1,12,0,1,495615
1,12,0,1,500847
1,12,0,1,352918
1,12,0,1,726215
1,12,0,1,420923
1,12,0,1,361526
1,12,0,1,566096
1,12,0,1,317939
1,12,0,1,426484
1,12,0,1,544258
1,12,0,1,919625
1,12,0,1,590670
1,12,0,1,661279
1,12,0,1,448869
1,12,0,1,398155
1,12,0,1,349204
1,12,0,1,582442
1,12,0,1,313456
1,12,0,1,535955
1,12,0,1,469457
1,12,0,1,485756
1,12,0,1,390032
1,12,0,1,359642
1,12,0,1,353610
1,12,0,1,383193
1,12,0,1,333781
1,12,0,1,365271
1,12,0,1,610549
1,12,0,1,368033
1,12,0,1,486699
1,12,0,1,414073
1,12,0,1,374949
1,12,0,1,333594
1,12,0,1,383114
1,12,0,1,313335
1,12,0,1,367352
1,12,0,1,373656
1,12,0,1,606671
1,12,0,1,342020
1,12,0,1,458204
1,12,0,1,381501
1,12,0,1,305801
1,12,0,1,434622
1,12,0,1,313194
1,12,0,1,320015
1,12,0,1,389188
1,12,0,1,396910
1,12,0,1,584638
1,12,0,1,388867
1,12,0,1,497690
1,12,0,1,712217
1,12,0,1,430817
1,12,0,1,471420
1,12,0,1,504480
1,12,0,1,372405
1,12,0,1,381248
1,12,0,1,486098
1,12,0,1,407680
1,12,0,1,574826
1,12,0,1,376602
1,12,0,1,562703
1,12,0,1,357223
1,12,0,1,493989
1,12,0,1,414333
1,12,0,1,303433
1,12,0,1,299989
1,12,0,1,364139
1,12,0,1,636962
1,12,0,1,370222
1,12,0,1,373988
6,72,0,1,1088596
6,72,0,6,720281
6,72,0,6,703002
6,72,0,6,1123454
6,72,0,6,705950
6,72,0,6,683004
6,72,0,6,1127422
6,72,0,6,725906
6,72,0,6,701756
6,72,0,6,755143
6,72,0,6,826307
6,72,0,6,645243
6,72,0,6,660076
6,72,0,6,691175
6,72,0,6,698847
6,72,0,6,1166694
6,72,0,6,662886
6,72,0,6,1215722
6,72,0,6,755245
6,72,0,6,793719
6,72,0,6,690567
6,72,0,6,730210
6,72,0,6,775186
6,72,0,6,774963
6,72,0,6,749883
6,72,0,6,799872
6,72,0,6,761040
6,72,0,6,772610
6,72,0,6,765564
6,72,0,6,745546
6,72,0,6,741924
6,72,0,6,765385
6,72,0,6,1184941
6,72,0,6,759833
6,72,0,6,690520
6,72,0,6,989398
6,72,0,6,636011
6,72,0,6,707478
6,72,0,6,746193
6,72,0,6,740269
6,72,0,6,678729
6,72,0,6,776508
6,72,0,6,719091
6,72,0,6,683245
6,72,0,6,648750
6,72,0,6,1136039
6,72,0,6,677554
6,72,0,6,687933
6,72,0,6,738230
6,72,0,6,811191
6,72,0,6,735444
6,72,0,6,812804
6,72,0,6,731533
6,72,0,6,682473
6,72,0,6,671152
6,72,0,6,704055
6,72,0,6,667983
6,72,0,6,1020232
6,72,0,6,708056
6,72,0,6,1200099
6,72,0,6,753351
6,72,0,6,732123
6,72,0,6,740883
6,72,0,6,762483
6,72,0,6,757555
6,72,0,6,718231
6,72,0,6,726386
6,72,0,6,694630
6,72,0,6,636886
6,72,0,6,661842
6,72,0,6,735744
6,72,0,6,761073
6,72,0,6,871764
6,72,0,6,850608
6,72,0,6,702537
6,72,0,6,725258
6,72,0,6,906833
6,72,0,6,940766
